 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


 Time:      61.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  79   -17.00    -107.936 0.3159   0.4068E-01  0.6514E-03 -0.5481E-01  0.6167E-02  -1   0     19.4519  0.022203  0.8551E-02
  78   -18.00    -107.913 0.3159   0.4070E-01  0.6515E-03 -0.2773E-01  0.5886E-02  -1   0     19.4143  0.022263  0.7721E-02
  77   -19.00    -107.296 0.3163   0.4130E-01  0.6557E-03 -0.6325E-02  0.5604E-02  -1   0     19.3607  0.022313  0.6970E-02
  76   -20.00    -106.223 0.3170   0.4234E-01  0.6631E-03  0.1027E-01  0.5320E-02  -1   0     19.2938  0.022355  0.6290E-02
  75   -21.00    -104.817 0.3179   0.4370E-01  0.6727E-03  0.2291E-01  0.5035E-02  -1   0     19.2164  0.022393  0.5673E-02
  74   -22.00    -103.179 0.3190   0.4529E-01  0.6838E-03  0.3236E-01  0.4747E-02  -1   0     19.1305  0.022430  0.5115E-02
  73   -23.00    -101.391 0.3202   0.4703E-01  0.6961E-03  0.3927E-01  0.4457E-02  -1   0     19.0381  0.022466  0.4608E-02
  72   -24.00     -99.512 0.3214   0.4885E-01  0.7089E-03  0.4413E-01  0.4164E-02  -1   0     18.9411  0.022505  0.4147E-02
  71   -25.00     -97.586 0.3227   0.5072E-01  0.7221E-03  0.4736E-01  0.3869E-02  -1   0     18.8408  0.022548  0.3725E-02
  70   -26.00     -95.645 0.3240   0.5261E-01  0.7354E-03  0.4927E-01  0.3571E-02  -1   0     18.7386  0.022596  0.3341E-02
  69   -27.00     -93.713 0.3253   0.5449E-01  0.7486E-03  0.4999E-01  0.3270E-02  -1   0     18.6356  0.022652  0.2991E-02
  68   -28.00     -91.752 0.3687   0.4977E-01  0.6928E-03  0.4959E-01  0.2967E-02  -1   0     18.5354  0.022732  0.2672E-02
  67   -29.00     -89.797 0.3702   0.5308E-01  0.7105E-03  0.4837E-01  0.2662E-02  -1   0     18.4387  0.022858  0.2381E-02
  66   -30.00     -87.926 0.3716   0.5625E-01  0.7274E-03  0.4658E-01  0.2354E-02  -1   0     18.3435  0.023002  0.2113E-02
  65   -31.00     -86.137 0.3730   0.5927E-01  0.7436E-03  0.4433E-01  0.2045E-02  -1   0     18.2504  0.023164  0.1866E-02
  64   -32.00     -84.428 0.3743   0.6216E-01  0.7591E-03  0.4167E-01  0.1733E-02  -1   0     18.1596  0.023341  0.1639E-02
  63   -33.00     -82.794 0.3755   0.6493E-01  0.7739E-03  0.3866E-01  0.1420E-02  -1   0     18.0716  0.023534  0.1428E-02
  62   -34.00     -81.235 0.3767   0.6757E-01  0.7880E-03  0.3532E-01  0.1105E-02  -1   0     17.9864  0.023740  0.1232E-02
