
       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cTop       cRoot       cBot      vProd    Sum(vProd) Sum(Sink)  TLevel
        [T]     [L3/L2/T]  [L3/L2/T]   [L3/L2]    [L3/L2]   [L3/L3]     [L3/L3]    [L3/L3]   [L3/L2/T]    [L3/L2]   [L3/L2]

      69.34478  0.634E-01 -0.835E-03  0.203E+01 -0.578E-02  0.330E-03  0.489E-02  0.179E-01  0.205E+00  0.175E+01  0.109E-02     105
      69.36437  0.639E-01 -0.553E-03  0.203E+01 -0.579E-02  0.330E-03  0.509E-02  0.179E-01  0.211E+00  0.175E+01  0.110E-02     106
      69.38396  0.645E-01 -0.107E-02  0.203E+01 -0.581E-02  0.330E-03  0.535E-02  0.179E-01  0.217E+00  0.176E+01  0.111E-02     107
      69.40355  0.652E-01 -0.115E-02  0.203E+01 -0.584E-02  0.330E-03  0.562E-02  0.179E-01  0.223E+00  0.176E+01  0.112E-02     108
      69.42315  0.660E-01 -0.995E-03  0.204E+01 -0.586E-02  0.330E-03  0.589E-02  0.179E-01  0.230E+00  0.177E+01  0.113E-02     109
      69.44274  0.671E-01 -0.978E-03  0.204E+01 -0.588E-02  0.330E-03  0.618E-02  0.179E-01  0.236E+00  0.177E+01  0.115E-02     110
      69.46233  0.682E-01 -0.110E-02  0.204E+01 -0.590E-02  0.330E-03  0.647E-02  0.179E-01  0.242E+00  0.177E+01  0.116E-02     111
      69.48780  0.688E-01 -0.111E-02  0.204E+01 -0.593E-02  0.330E-03  0.676E-02  0.179E-01  0.247E+00  0.178E+01  0.118E-02     112
      69.51327  0.702E-01 -0.109E-02  0.204E+01 -0.595E-02  0.330E-03  0.706E-02  0.179E-01  0.254E+00  0.179E+01  0.120E-02     113
      69.53875  0.714E-01 -0.101E-02  0.204E+01 -0.598E-02  0.330E-03  0.745E-02  0.179E-01  0.260E+00  0.179E+01  0.122E-02     114
      69.56422  0.723E-01 -0.944E-03  0.205E+01 -0.600E-02  0.330E-03  0.786E-02  0.179E-01  0.265E+00  0.180E+01  0.124E-02     115
      69.58969  0.731E-01 -0.111E-02  0.205E+01 -0.603E-02  0.330E-03  0.826E-02  0.179E-01  0.268E+00  0.181E+01  0.126E-02     116
      69.62280  0.732E-01 -0.120E-02  0.205E+01 -0.607E-02  0.330E-03  0.867E-02  0.179E-01  0.270E+00  0.182E+01  0.129E-02     117
      69.65591  0.732E-01 -0.715E-03  0.205E+01 -0.609E-02  0.330E-03  0.908E-02  0.179E-01  0.271E+00  0.183E+01  0.132E-02     118
      69.69032  0.727E-01 -0.602E-03  0.205E+01 -0.612E-02  0.330E-03  0.959E-02  0.179E-01  0.269E+00  0.184E+01  0.135E-02     119
      69.72473  0.717E-01 -0.956E-03  0.206E+01 -0.615E-02  0.330E-03  0.101E-01  0.179E-01  0.265E+00  0.184E+01  0.139E-02     120
      69.75914  0.700E-01 -0.948E-03  0.206E+01 -0.618E-02  0.330E-03  0.106E-01  0.179E-01  0.259E+00  0.185E+01  0.142E-02     121
      69.79354  0.679E-01 -0.882E-03  0.206E+01 -0.621E-02  0.330E-03  0.110E-01  0.179E-01  0.251E+00  0.186E+01  0.146E-02     122
      69.82795  0.656E-01 -0.836E-03  0.206E+01 -0.624E-02  0.330E-03  0.114E-01  0.179E-01  0.243E+00  0.187E+01  0.149E-02     123
      69.86236  0.631E-01 -0.808E-03  0.207E+01 -0.627E-02  0.330E-03  0.118E-01  0.179E-01  0.233E+00  0.188E+01  0.152E-02     124
      69.89677  0.607E-01 -0.970E-03  0.207E+01 -0.630E-02  0.330E-03  0.121E-01  0.179E-01  0.224E+00  0.189E+01  0.156E-02     125
      69.94838  0.581E-01 -0.647E-03  0.207E+01 -0.633E-02  0.330E-03  0.124E-01  0.179E-01  0.215E+00  0.190E+01  0.161E-02     126
      70.00000  0.549E-01 -0.913E-04  0.207E+01 -0.634E-02  0.330E-03  0.126E-01  0.179E-01  0.204E+00  0.191E+01  0.166E-02     127
      70.04305  0.455E-01 -0.348E-03  0.208E+01 -0.635E-02  0.330E-03  0.129E-01  0.179E-01  0.194E+00  0.192E+01  0.170E-02     128
      70.08609  0.521E-01 -0.690E-03  0.208E+01 -0.638E-02  0.330E-03  0.132E-01  0.179E-01  0.189E+00  0.192E+01  0.175E-02     129
      70.12914  0.758E-01 -0.699E-03  0.208E+01 -0.641E-02  0.330E-03  0.135E-01  0.179E-01  0.186E+00  0.193E+01  0.182E-02     130
      70.17218  0.944E-01 -0.689E-03  0.209E+01 -0.644E-02  0.330E-03  0.138E-01  0.179E-01  0.184E+00  0.194E+01  0.189E-02     131
      70.21523  0.111E+00 -0.680E-03  0.209E+01 -0.647E-02  0.330E-03  0.140E-01  0.179E-01  0.185E+00  0.195E+01  0.197E-02     132
      70.27119  0.128E+00 -0.672E-03  0.210E+01 -0.651E-02  0.330E-03  0.141E-01  0.179E-01  0.189E+00  0.196E+01  0.206E-02     133
      70.34407  0.149E+00 -0.678E-03  0.211E+01 -0.656E-02  0.330E-03  0.143E-01  0.179E-01  0.197E+00  0.197E+01  0.218E-02     134
