 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 


 Time:       0.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  16  -115.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5172E-07
  15  -118.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3774E-07
  14  -121.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2755E-07
  13  -124.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2010E-07
  12  -127.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1467E-07
  11  -130.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1071E-07
  10  -134.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.7035E-08
   9  -138.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.4622E-08
   8  -142.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3037E-08
   7  -146.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1995E-08
   6  -150.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1311E-08
   5  -154.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.8614E-09
   4  -158.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5660E-09
