 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   8. 7.    Time:  19:20:18
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 11)                                 Node( 21)                                 Node( 31)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
         4.528        .000   .6330   20.000   .856E+01          .000   .6330   20.000   .713E+01          .000   .6330   20.000   .572E+01          .000   .6330   20.000   .459E+01          .000   .6330   20.000   .392E+01
         4.685        .000   .6330   20.000   .860E+01          .000   .6330   20.000   .721E+01          .000   .6330   20.000   .582E+01          .000   .6330   20.000   .470E+01          .000   .6330   20.000   .403E+01
         4.842        .000   .6330   20.000   .864E+01          .000   .6330   20.000   .728E+01          .000   .6330   20.000   .592E+01          .000   .6330   20.000   .481E+01          .000   .6330   20.000   .414E+01
         5.000        .000   .6330   20.000   .868E+01          .000   .6330   20.000   .736E+01          .000   .6330   20.000   .602E+01          .000   .6330   20.000   .491E+01          .000   .6330   20.000   .425E+01
         5.189        .000   .6330   20.000   .873E+01          .000   .6330   20.000   .744E+01          .000   .6330   20.000   .613E+01          .000   .6330   20.000   .503E+01          .000   .6330   20.000   .437E+01
         5.381        .000   .6330   20.000   .877E+01          .000   .6330   20.000   .753E+01          .000   .6330   20.000   .624E+01          .000   .6330   20.000   .515E+01          .000   .6330   20.000   .449E+01
         5.496        .000   .6330   20.000   .880E+01          .000   .6330   20.000   .757E+01          .000   .6330   20.000   .630E+01          .000   .6330   20.000   .522E+01          .000   .6330   20.000   .457E+01
         5.610        .000   .6330   20.000   .882E+01          .000   .6330   20.000   .762E+01          .000   .6330   20.000   .636E+01          .000   .6330   20.000   .529E+01          .000   .6330   20.000   .464E+01
         5.814        .000   .6330   20.000   .886E+01          .000   .6330   20.000   .770E+01          .000   .6330   20.000   .647E+01          .000   .6330   20.000   .541E+01          .000   .6330   20.000   .476E+01
         6.020        .000   .6330   20.000   .890E+01          .000   .6330   20.000   .777E+01          .000   .6330   20.000   .657E+01          .000   .6330   20.000   .553E+01          .000   .6330   20.000   .488E+01
