        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
          22	         -21	           2	     6.26464	     12.7719	 1.9422e-003	 1.5096e-010	 1.2463e-008	 9.4350e-003	 3.7616e-015	 1.4909e-002	 1.6251e-013	
          23	         -22	           2	      6.2646	     12.8267	 1.9422e-003	 4.1690e-011	 1.2463e-008	 9.4350e-003	 3.7887e-016	 1.4909e-002	 1.6264e-014	
          24	         -23	           2	     6.26459	     12.8572	 1.9422e-003	 1.1707e-011	 1.2463e-008	 9.4350e-003	 2.7062e-017	 1.4909e-002	 1.5696e-015	
          25	         -24	           2	     6.26458	       12.87	 1.9422e-003	 3.7368e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.6237e-016	
          26	         -25	           2	     6.26458	     12.8891	 1.9422e-003	 1.6808e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7062e-017	
          27	         -26	           2	     6.26458	     12.9235	 1.9422e-003	 1.1650e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          28	         -27	           2	     6.26458	     12.9463	 1.9422e-003	 1.0391e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7062e-017	
          29	         -28	           2	     6.26458	     12.9485	 1.9422e-003	 1.0090e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 5.4124e-017	
          30	         -29	           2	     6.26458	     12.9469	 1.9422e-003	 1.0021e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          31	         -30	           2	     6.26458	     12.9612	 1.9422e-003	 1.0005e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.0825e-016	
          32	         -31	           2	     6.26458	     12.9724	 1.9422e-003	 1.0001e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 8.1186e-017	
          33	         -32	           2	     6.26458	     12.9715	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7062e-017	
          34	         -33	           2	     6.26458	     12.9722	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 5.4124e-017	
          35	         -34	           2	     6.26458	     12.9867	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.8943e-016	
          36	         -35	           2	     6.26458	     12.9901	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 5.4124e-017	
          37	         -36	           2	     6.26458	     12.9803	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.0825e-016	
          38	         -37	           2	     6.26458	     12.9753	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.6237e-016	
          39	         -38	           2	     6.26458	     12.9944	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.8943e-016	
          40	         -39	           2	     6.26458	     13.0142	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.6006e-016	
          41	         -40	           2	     6.26458	       13.01	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.1650e-016	
          42	         -41	           2	     6.26458	      13.008	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 6.7655e-016	
          43	         -42	           2	     6.26458	     13.0437	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.7320e-015	
          44	         -43	           2	     6.26458	       13.05	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.8712e-016	
          45	         -44	           2	     6.26458	     13.0224	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.0825e-015	
          46	         -45	           2	     6.26458	     12.9839	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.6237e-015	
          47	         -46	           2	     6.26458	     12.9727	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 9.4717e-016	
          48	         -47	           2	     6.26458	      13.012	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.5438e-015	
          49	         -48	           2	     6.26458	     12.9946	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.2449e-015	
          50	         -49	           2	     6.26458	     12.9656	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 8.1186e-016	
          51	         -50	           2	     6.26458	      12.961	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.0297e-015	
          52	         -51	           2	     6.26458	     13.0238	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 6.3325e-015	
          53	         -52	           2	     6.26458	     12.9853	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 8.5787e-015	
          54	         -53	           2	     6.26458	     12.9555	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.4356e-015	
          55	         -54	           2	     6.26458	     12.9508	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.0174e-014	
