        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
         101	        -100	          79	     9.50844	     9.12471	 2.8977e-003	 9.9969e-004	 9.3058e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	-2.4399e-016	
         101	        -100	          80	     9.50848	     9.10429	 2.8977e-003	 9.9978e-004	 9.3067e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          81	     9.50851	     9.08641	 2.8978e-003	 9.9985e-004	 9.3073e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.3555e-016	
         101	        -100	          82	     9.50853	     9.07223	 2.8978e-003	 9.9989e-004	 9.3077e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.8977e-016	
         101	        -100	          83	     9.50854	     9.06041	 2.8979e-003	 9.9993e-004	 9.3080e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
         101	        -100	          84	     9.50855	      9.0527	 2.8979e-003	 9.9995e-004	 9.3082e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          85	     9.50856	     9.04676	 2.8979e-003	 9.9996e-004	 9.3084e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
         101	        -100	          86	     9.50856	     9.04323	 2.8979e-003	 9.9998e-004	 9.3085e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          87	     9.50857	     9.04258	 2.8979e-003	 9.9998e-004	 9.3085e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          88	     9.50857	     9.04521	 2.8979e-003	 9.9999e-004	 9.3086e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.2533e-016	
         101	        -100	          89	     9.50857	     9.04461	 2.8979e-003	 9.9999e-004	 9.3086e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
         101	        -100	          90	     9.50857	     9.04893	 2.8979e-003	 9.9999e-004	 9.3086e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          91	     9.50857	     9.05373	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
         101	        -100	          92	     9.50857	     9.05727	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
         101	        -100	          93	     9.50857	     9.05967	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
         101	        -100	          94	     9.50857	     9.06495	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-016	
