 ******* Program HYDRUS
 ******* Solute Transport with Nitrification Chain                              
  
 Date:   1.10.    Time:  14:30:40
 Units: L = cm   , T = hours, M = -    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   20    .000  .10000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
 
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
  1.0000   -.509E-05  -.5293E+01   .1274E-07   .1000E+01  -.1812E-06    1.0000
  1.0000   -.643E-05  -.5192E+01   .1607E-07   .1000E+01  -.2330E-06    1.0000
  1.0000   -.811E-05  -.5091E+01   .2028E-07   .1000E+01  -.3106E-06    1.0000
  1.0000   -.102E-04  -.4990E+01   .2559E-07   .1000E+01  -.4142E-06    1.0000
  1.0000   -.129E-04  -.4889E+01   .3229E-07   .1000E+01  -.5177E-06    1.0000
  1.0000   -.163E-04  -.4788E+01   .4074E-07   .1000E+01  -.6730E-06    1.0000
  1.0000   -.206E-04  -.4687E+01   .5141E-07   .1000E+01  -.8542E-06    1.0000
  1.0000   -.260E-04  -.4586E+01   .6488E-07   .1000E+01  -.1087E-05    1.0000
  1.0000   -.327E-04  -.4485E+01   .8186E-07   .1000E+01  -.1372E-05    1.0000
  1.0000   -.413E-04  -.4384E+01   .1033E-06   .1000E+01  -.1760E-05    1.0000
  1.0000   -.521E-04  -.4283E+01   .1304E-06   .1000E+01  -.2226E-05    1.0000
  1.0000   -.658E-04  -.4182E+01   .1645E-06   .1000E+01  -.2822E-05    1.0000
  1.0000   -.830E-04  -.4081E+01   .2076E-06   .1000E+01  -.3572E-05    1.0000
  1.0000   -.105E-03  -.3980E+01   .2619E-06   .1000E+01  -.4504E-05    1.0000
  1.0000   -.132E-03  -.3879E+01   .3305E-06   .1000E+01  -.5695E-05    1.0000
  1.0000   -.167E-03  -.3778E+01   .4170E-06   .1000E+01  -.7196E-05    1.0000
  1.0000   -.210E-03  -.3677E+01   .5262E-06   .1000E+01  -.9112E-05    1.0000
  1.0000   -.266E-03  -.3576E+01   .6640E-06   .1000E+01  -.1149E-04    1.0000
  1.0000   -.335E-03  -.3475E+01   .8379E-06   .1000E+01  -.1452E-04    1.0000
  1.0000   -.423E-03  -.3374E+01   .1057E-05   .1000E+01  -.1833E-04    1.0000
  1.0000   -.534E-03  -.3273E+01   .1334E-05   .9999E+00  -.2314E-04    1.0000
  1.0000   -.673E-03  -.3172E+01   .1684E-05   .9999E+00  -.2920E-04    1.0000
  1.0000   -.850E-03  -.3071E+01   .2124E-05   .9999E+00  -.3686E-04    1.0000
  1.0000   -.107E-02  -.2970E+01   .2681E-05   .9999E+00  -.4652E-04    1.0000
  1.0000   -.135E-02  -.2869E+01   .3383E-05   .9999E+00  -.5871E-04    1.0000
  1.0000   -.171E-02  -.2768E+01   .4268E-05   .9998E+00  -.7412E-04    1.0000
  1.0000   -.215E-02  -.2667E+01   .5386E-05   .9998E+00  -.9354E-04    1.0000
  1.0000   -.272E-02  -.2566E+01   .6796E-05   .9997E+00  -.1180E-03    1.0000
  1.0000   -.343E-02  -.2465E+01   .8576E-05   .9997E+00  -.1490E-03    1.0000
  1.0000   -.433E-02  -.2364E+01   .1082E-04   .9996E+00  -.1880E-03    1.0000
  1.0000   -.546E-02  -.2263E+01   .1366E-04   .9995E+00  -.2372E-03    1.0000
  1.0000   -.689E-02  -.2162E+01   .1723E-04   .9993E+00  -.2994E-03    1.0000
  1.0000   -.870E-02  -.2061E+01   .2174E-04   .9991E+00  -.3778E-03    1.0000
  1.0000   -.110E-01  -.1960E+01   .2744E-04   .9989E+00  -.4768E-03    1.0000
  1.0000   -.138E-01  -.1859E+01   .3462E-04   .9986E+00  -.6017E-03    1.0000
  1.0000   -.175E-01  -.1758E+01   .4369E-04   .9983E+00  -.7593E-03    1.0000
  1.0000   -.221E-01  -.1657E+01   .5513E-04   .9978E+00  -.9583E-03    1.0000
  1.0000   -.278E-01  -.1556E+01   .6956E-04   .9972E+00  -.1209E-02    1.0000
  1.0000   -.351E-01  -.1455E+01   .8778E-04   .9965E+00  -.1527E-02    1.0000
  1.0000   -.443E-01  -.1354E+01   .1108E-03   .9956E+00  -.1927E-02    1.0000
  1.0000   -.559E-01  -.1253E+01   .1398E-03   .9944E+00  -.2432E-02    1.0000
  1.0000   -.705E-01  -.1152E+01   .1764E-03   .9930E+00  -.3071E-02    1.0000
  1.0000   -.890E-01  -.1051E+01   .2225E-03   .9911E+00  -.3877E-02    1.0000
  1.0000   -.112E+00  -.9495E+00   .2808E-03   .9888E+00  -.4896E-02    1.0000
  1.0000   -.142E+00  -.8485E+00   .3543E-03   .9859E+00  -.6183E-02    1.0000
  1.0000   -.179E+00  -.7475E+00   .4471E-03   .9822E+00  -.7811E-02    1.0000
   .9999   -.226E+00  -.6465E+00   .5641E-03   .9775E+00  -.9871E-02     .9999
   .9999   -.285E+00  -.5455E+00   .7118E-03   .9717E+00  -.1248E-01     .9999
   .9998   -.359E+00  -.4444E+00   .8980E-03   .9643E+00  -.1578E-01     .9998
   .9997   -.453E+00  -.3434E+00   .1133E-02   .9551E+00  -.1997E-01     .9997
   .9996   -.572E+00  -.2424E+00   .1429E-02   .9434E+00  -.2529E-01     .9996
   .9993   -.722E+00  -.1414E+00   .1802E-02   .9288E+00  -.3206E-01     .9993
   .9990   -.911E+00  -.4040E-01   .2271E-02   .9106E+00  -.4068E-01     .9990
   .9984   -.115E+01   .6061E-01   .2860E-02   .8878E+00  -.5170E-01     .9984
   .9974   -.145E+01   .1616E+00   .3599E-02   .8594E+00  -.6580E-01     .9974
   .9958   -.183E+01   .2626E+00   .4520E-02   .8243E+00  -.8393E-01     .9958
   .9934   -.231E+01   .3636E+00   .5662E-02   .7811E+00  -.1073E+00     .9934
