
     Time      Short.Rad.    Long.Rad.    Radiation    Sensible      Latent     Heat Flux     Balance
      [d]       [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]   [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]

   .32890E+03   .00000E+00  -.47637E+01  -.47637E+01  -.64917E+00   .11803E+01   .52948E+01   .97181E-07
   .32892E+03   .00000E+00  -.47801E+01  -.47801E+01  -.47672E+00   .10148E+01   .53181E+01  -.41750E-06
   .32893E+03   .00000E+00  -.47270E+01  -.47270E+01  -.48573E+00   .99234E+00   .52336E+01   .50812E-06
   .32894E+03   .00000E+00  -.47087E+01  -.47087E+01  -.49324E+00   .98429E+00   .51998E+01   .77479E-07
   .32895E+03   .00000E+00  -.46722E+01  -.46722E+01  -.50874E+00   .97506E+00   .51385E+01  -.17479E-06
   .32896E+03   .00000E+00  -.46595E+01  -.46595E+01  -.51413E+00   .96722E+00   .51126E+01  -.68942E-07
   .32897E+03   .00000E+00  -.46944E+01  -.46944E+01  -.46059E+00   .91709E+00   .51509E+01  -.81672E-07
   .32898E+03   .00000E+00  -.47490E+01  -.47490E+01  -.40253E+00   .86933E+00   .52158E+01   .28136E-06
   .32899E+03   .00000E+00  -.47857E+01  -.47857E+01  -.35468E+00   .81604E+00   .52471E+01  -.18399E-06
   .32900E+03   .00000E+00  -.48560E+01  -.48560E+01  -.29320E+00   .75793E+00   .53207E+01  -.11048E-06
   .32901E+03   .00000E+00  -.42881E+01  -.42881E+01  -.32486E+00   .78380E+00   .47470E+01   .73592E-08
   .32902E+03   .00000E+00  -.42821E+01  -.42821E+01  -.35045E+00   .82550E+00   .47571E+01  -.21474E-06
   .32903E+03   .00000E+00  -.42414E+01  -.42414E+01  -.38914E+00   .84912E+00   .47013E+01  -.77405E-07
   .32904E+03   .00000E+00  -.42232E+01  -.42232E+01  -.42688E+00   .88984E+00   .46862E+01   .13614E-06
   .32905E+03   .00000E+00  -.41376E+01  -.41376E+01  -.48856E+00   .90937E+00   .45584E+01   .10768E-06
   .32906E+03   .00000E+00  -.40826E+01  -.40826E+01  -.54170E+00   .93884E+00   .44797E+01  -.20339E-06
   .32907E+03   .00000E+00  -.40096E+01  -.40096E+01  -.60590E+00   .95695E+00   .43606E+01   .98198E-07
   .32908E+03   .00000E+00  -.39553E+01  -.39553E+01  -.66860E+00   .98413E+00   .42709E+01  -.24590E-07
   .32909E+03   .00000E+00  -.39333E+01  -.39333E+01  -.70002E+00   .99456E+00   .42278E+01  -.15219E-06
   .32910E+03   .00000E+00  -.39294E+01  -.39294E+01  -.72328E+00   .10085E+01   .42147E+01   .85258E-07
   .32911E+03   .00000E+00  -.39085E+01  -.39085E+01  -.75577E+00   .10186E+01   .41714E+01  -.12277E-06
   .32913E+03   .00000E+00  -.39056E+01  -.39056E+01  -.78475E+00   .10336E+01   .41544E+01  -.10715E-06
   .32914E+03   .00000E+00  -.38949E+01  -.38949E+01  -.80958E+00   .10334E+01   .41187E+01   .14509E-06
   .32914E+03   .00000E+00  -.39037E+01  -.39037E+01  -.84193E+00   .10439E+01   .41057E+01  -.31602E-07
   .32915E+03   .00000E+00  -.38986E+01  -.38986E+01  -.92484E+00   .10763E+01   .40500E+01  -.14894E-07
   .32917E+03   .00000E+00  -.39143E+01  -.39143E+01  -.10255E+01   .11106E+01   .39995E+01   .12557E-09
   .32918E+03   .00000E+00  -.39765E+01  -.39765E+01  -.73392E+00   .96391E+00   .42064E+01   .11983E-07
   .32919E+03   .00000E+00  -.40474E+01  -.40474E+01  -.61202E+00   .89605E+00   .43314E+01  -.21942E-06
   .32920E+03   .00000E+00  -.41069E+01  -.41069E+01  -.50376E+00   .82014E+00   .44233E+01   .83069E-07
   .32921E+03   .00000E+00  -.41863E+01  -.41863E+01  -.38910E+00   .73024E+00   .45275E+01   .22323E-06
   .32922E+03   .00000E+00  -.41672E+01  -.41672E+01  -.44643E+00   .77896E+00   .44997E+01  -.40959E-06
   .32923E+03   .00000E+00  -.41660E+01  -.41660E+01  -.49703E+00   .82108E+00   .44900E+01  -.12000E-07
   .32924E+03   .00000E+00  -.41563E+01  -.41563E+01  -.55048E+00   .85543E+00   .44613E+01  -.53711E-07
   .32925E+03   .00000E+00  -.41642E+01  -.41642E+01  -.71558E+00   .96099E+00   .44096E+01  -.51957E-07
   .32926E+03   .32400E+00  -.41849E+01  -.38609E+01  -.65145E+00   .92002E+00   .41294E+01   .11675E-06
   .32927E+03   .32400E+00  -.42114E+01  -.38874E+01  -.59037E+00   .88389E+00   .41810E+01  -.77815E-07
   .32928E+03   .32400E+00  -.42175E+01  -.38935E+01  -.52965E+00   .83272E+00   .41966E+01   .12801E-06
   .32929E+03   .32400E+00  -.42399E+01  -.39159E+01  -.48887E+00   .80429E+00   .42313E+01   .23811E-06
   .32930E+03   .55080E+01  -.43937E+01   .11143E+01  -.50218E+00   .85118E+00  -.76533E+00  -.53427E-07
   .32931E+03   .55080E+01  -.45044E+01   .10036E+01  -.53159E+00   .10368E+01  -.49840E+00  -.23372E-07
   .32932E+03   .55080E+01  -.44046E+01   .11034E+01  -.55962E+00   .97739E+00  -.68558E+00  -.45399E-08
   .32933E+03   .55080E+01  -.43690E+01   .11390E+01  -.59259E+00   .10365E+01  -.69510E+00   .47219E-07
   .32934E+03   .17302E+02  -.50677E+01   .12234E+02  -.39037E+00   .15666E+01  -.11058E+02  -.48892E-06
   .32935E+03   .17302E+02  -.55089E+01   .11793E+02  -.73040E-01   .10092E+01  -.10857E+02  -.50777E-06
   .32935E+03   .17302E+02  -.56155E+01   .11686E+02   .46611E-01   .83237E+00  -.10807E+02   .13881E-06
   .32936E+03   .17302E+02  -.57206E+01   .11581E+02   .16907E+00   .79143E+00  -.10620E+02  -.53788E-06
   .32938E+03   .17302E+02  -.58216E+01   .11480E+02   .28972E+00   .82180E+00  -.10369E+02  -.43587E-06
   .32939E+03   .25790E+02  -.63959E+01   .19394E+02   .88589E+00   .86975E+00  -.17639E+02  -.68942E-06
   .32939E+03   .25790E+02  -.66959E+01   .19094E+02   .11822E+01   .83921E+00  -.17073E+02  -.58203E-06
   .32940E+03   .25790E+02  -.67479E+01   .19042E+02   .11202E+01   .86152E+00  -.17061E+02  -.35593E-06
   .32942E+03   .25790E+02  -.67833E+01   .19007E+02   .98221E+00   .86164E+00  -.17163E+02  -.86733E-06
   .32943E+03   .31428E+02  -.73375E+01   .24091E+02   .16021E+01   .90630E+00  -.21582E+02  -.76893E-06
   .32943E+03   .31428E+02  -.75856E+01   .23842E+02   .18698E+01   .86848E+00  -.21104E+02  -.14079E-05
   .32944E+03   .31428E+02  -.77041E+01   .23724E+02   .19331E+01   .89939E+00  -.20891E+02   .60265E-06
   .32946E+03   .31428E+02  -.77879E+01   .23640E+02   .18961E+01   .88846E+00  -.20856E+02   .14701E-05
   .32947E+03   .33696E+02  -.82763E+01   .25420E+02   .27832E+01   .90873E+00  -.21728E+02   .96298E-07
   .32948E+03   .33696E+02  -.85090E+01   .25187E+02   .33555E+01   .89215E+00  -.20939E+02  -.77444E-06
   .32949E+03   .33696E+02  -.87231E+01   .24973E+02   .39379E+01   .90995E+00  -.20125E+02   .22910E-06
   .32950E+03   .33696E+02  -.88490E+01   .24847E+02   .44351E+01   .90075E+00  -.19511E+02  -.19098E-05
   .32951E+03   .31298E+02  -.88196E+01   .22479E+02   .45590E+01   .88944E+00  -.17030E+02  -.31105E-06
   .32952E+03   .31298E+02  -.88550E+01   .22443E+02   .48125E+01   .89625E+00  -.16735E+02  -.58665E-06
   .32953E+03   .31298E+02  -.89089E+01   .22390E+02   .51110E+01   .89075E+00  -.16388E+02   .30544E-06
   .32954E+03   .31298E+02  -.89656E+01   .22333E+02   .54606E+01   .89024E+00  -.15982E+02  -.16305E-06
   .32955E+03   .14904E+02  -.77826E+01   .71214E+01   .28598E+01   .75744E+00  -.35042E+01  -.39465E-06
   .32956E+03   .14904E+02  -.75842E+01   .73198E+01   .24273E+01   .89224E+00  -.40002E+01   .19432E-06
   .32956E+03   .14904E+02  -.74868E+01   .74172E+01   .22054E+01   .78758E+00  -.44242E+01  -.27763E-06
   .32957E+03   .14904E+02  -.75169E+01   .73871E+01   .22047E+01   .81916E+00  -.43632E+01  -.28983E-06
   .32958E+03   .14904E+02  -.74296E+01   .74743E+01   .19898E+01   .78539E+00  -.46992E+01   .21966E-06
   .32959E+03   .11210E+02  -.71034E+01   .41070E+01   .14245E+01   .77510E+00  -.19075E+01  -.61036E-08
   .32960E+03   .11210E+02  -.68847E+01   .43257E+01   .10701E+01   .77211E+00  -.24835E+01   .78449E-07
   .32961E+03   .11210E+02  -.68085E+01   .44019E+01   .96211E+00   .76744E+00  -.26724E+01  -.52390E-07
   .32963E+03   .11210E+02  -.67041E+01   .45063E+01   .81544E+00   .75716E+00  -.29337E+01   .15229E-06
   .32964E+03   .57024E+01  -.63035E+01  -.60112E+00   .24448E+00   .71423E+00   .15598E+01  -.35829E-06
   .32964E+03   .57024E+01  -.61407E+01  -.43833E+00   .64855E-01   .73522E+00   .12384E+01   .45358E-06
   .32965E+03   .57024E+01  -.60652E+01  -.36283E+00   .87674E-02   .71084E+00   .10824E+01   .41769E-07
   .32967E+03   .57024E+01  -.60419E+01  -.33953E+00   .13718E-01   .71253E+00   .10658E+01  -.11001E-06
   .32968E+03   .71280E+00  -.56451E+01  -.49323E+01  -.19460E+00   .66213E+00   .53998E+01   .16886E-06
   .32969E+03   .71280E+00  -.54767E+01  -.47639E+01  -.20636E+00   .68616E+00   .52437E+01   .32912E-06
   .32970E+03   .71280E+00  -.54030E+01  -.46902E+01  -.17339E+00   .65582E+00   .51726E+01   .77369E-07
   .32971E+03   .71280E+00  -.53942E+01  -.46814E+01  -.12087E+00   .66216E+00   .52227E+01   .46038E-06
   .32972E+03   .64800E-01  -.53218E+01  -.52570E+01  -.14178E+00   .63832E+00   .57535E+01   .48027E-06
   .32973E+03   .64800E-01  -.53221E+01  -.52573E+01  -.13180E+00   .64490E+00   .57704E+01  -.20614E-06
   .32974E+03   .64800E-01  -.53236E+01  -.52588E+01  -.11186E+00   .62644E+00   .57734E+01  -.48809E-06
   .32975E+03   .64800E-01  -.53828E+01  -.53180E+01  -.30313E-01   .62685E+00   .59145E+01  -.55254E-06
   .32976E+03   .00000E+00  -.53207E+01  -.53207E+01  -.57813E-01   .61397E+00   .58769E+01   .14713E-06
   .32977E+03   .00000E+00  -.53149E+01  -.53149E+01  -.38757E-01   .61523E+00   .58914E+01  -.42407E-06
   .32978E+03   .00000E+00  -.52934E+01  -.52934E+01  -.33330E-01   .60325E+00   .58633E+01  -.15251E-07
   .32979E+03   .00000E+00  -.53105E+01  -.53105E+01   .11335E-01   .60165E+00   .59235E+01  -.15608E-06
   .32980E+03   .00000E+00  -.52765E+01  -.52765E+01  -.20580E-02   .59279E+00   .58672E+01  -.16904E-06
   .32981E+03   .00000E+00  -.52788E+01  -.52788E+01   .18885E-01   .59207E+00   .58897E+01   .41707E-06
   .32982E+03   .00000E+00  -.52670E+01  -.52670E+01   .26399E-01   .58333E+00   .58767E+01  -.46824E-06
   .32983E+03   .00000E+00  -.52798E+01  -.52798E+01   .62342E-01   .58152E+00   .59236E+01  -.28495E-06
   .32984E+03   .00000E+00  -.52306E+01  -.52306E+01   .14931E-01   .57497E+00   .58205E+01   .69282E-06
   .32985E+03   .00000E+00  -.52071E+01  -.52071E+01  -.43543E-02   .57358E+00   .57764E+01  -.60438E-06
   .32986E+03   .00000E+00  -.51754E+01  -.51754E+01  -.31299E-01   .56721E+00   .57113E+01   .55250E-06
   .32988E+03   .00000E+00  -.51609E+01  -.51609E+01  -.40135E-01   .56460E+00   .56853E+01  -.21392E-06
   .32989E+03   .00000E+00  -.51184E+01  -.51184E+01  -.63139E-01   .55955E+00   .56148E+01  -.88355E-07
   .32989E+03   .00000E+00  -.50955E+01  -.50955E+01  -.67614E-01   .55786E+00   .55858E+01  -.19759E-06
   .32990E+03   .00000E+00  -.50668E+01  -.50668E+01  -.77907E-01   .55272E+00   .55416E+01   .15291E-06
   .32992E+03   .00000E+00  -.50497E+01  -.50497E+01  -.74512E-01   .55006E+00   .55252E+01   .51921E-06
   .32993E+03   .00000E+00  -.50290E+01  -.50290E+01  -.83741E-01   .54575E+00   .54910E+01  -.18821E-06
   .32994E+03   .00000E+00  -.50225E+01  -.50225E+01  -.80024E-01   .54387E+00   .54864E+01  -.88839E-07
   .32995E+03   .00000E+00  -.50108E+01  -.50108E+01  -.81246E-01   .53944E+00   .54690E+01   .20474E-06
   .32996E+03   .00000E+00  -.50083E+01  -.50083E+01  -.72990E-01   .53712E+00   .54725E+01  -.19320E-06
   .32997E+03   .00000E+00  -.49903E+01  -.49903E+01  -.10394E+00   .53347E+00   .54198E+01  -.23848E-06
   .32998E+03   .00000E+00  -.49828E+01  -.49828E+01  -.12185E+00   .53151E+00   .53925E+01   .11717E-06
   .32999E+03   .00000E+00  -.49725E+01  -.49725E+01  -.13846E+00   .52782E+00   .53619E+01   .14239E-06
   .33000E+03   .00000E+00  -.49706E+01  -.49706E+01  -.14694E+00   .52513E+00   .53487E+01   .35769E-06
   .33001E+03   .00000E+00  -.38655E+01  -.38655E+01  -.11473E+00   .53014E+00   .42809E+01  -.12125E-06
   .33002E+03   .00000E+00  -.39124E+01  -.39124E+01  -.96039E-01   .52272E+00   .43391E+01   .14618E-06
   .33003E+03   .00000E+00  -.39360E+01  -.39360E+01  -.94216E-01   .52401E+00   .43658E+01   .35229E-06
   .33004E+03   .00000E+00  -.39588E+01  -.39588E+01  -.96244E-01   .51921E+00   .43817E+01  -.34242E-06
   .33005E+03   .00000E+00  -.39938E+01  -.39938E+01  -.65115E-01   .51861E+00   .44473E+01   .98929E-07
   .33006E+03   .00000E+00  -.40244E+01  -.40244E+01  -.39630E-01   .51491E+00   .44997E+01  -.35529E-07
   .33007E+03   .00000E+00  -.40548E+01  -.40548E+01  -.16375E-01   .51370E+00   .45522E+01   .46646E-06
   .33008E+03   .00000E+00  -.40860E+01  -.40860E+01   .55181E-02   .51014E+00   .46017E+01   .24659E-06
   .33009E+03   .00000E+00  -.41414E+01  -.41414E+01   .70924E-01   .50812E+00   .47204E+01   .28299E-06
   .33010E+03   .00000E+00  -.41918E+01  -.41918E+01   .14330E+00   .50480E+00   .48399E+01   .30366E-06
   .33011E+03   .00000E+00  -.42403E+01  -.42403E+01   .22246E+00   .50251E+00   .49653E+01  -.49263E-06
   .33013E+03   .00000E+00  -.42958E+01  -.42958E+01   .32422E+00   .49833E+00   .51183E+01  -.45354E-06
   .33014E+03   .00000E+00  -.42496E+01  -.42496E+01   .27821E+00   .49793E+00   .50257E+01  -.35573E-06
   .33014E+03   .00000E+00  -.42134E+01  -.42134E+01   .24060E+00   .49468E+00   .49487E+01  -.10417E-06
   .33015E+03   .00000E+00  -.41832E+01  -.41832E+01   .20686E+00   .49350E+00   .48835E+01   .29690E-06
