

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 
   332.66699   .489146E+00   .000000E+00   .178683E+00   .000000E+00  -.536881E-03-100000.000       .000  -1085.907     112
   332.70801   .493689E+00   .000000E+00   .179279E+00   .000000E+00  -.541321E-03-100000.000       .000  -1085.429     113
   332.75000   .497351E+00   .000000E+00   .179856E+00   .000000E+00  -.545897E-03-100000.000       .000  -1084.815     114
   332.79199   .500594E+00   .000000E+00   .180412E+00   .000000E+00  -.550506E-03-100000.000       .000  -1084.148     115
   332.83301   .503282E+00   .000000E+00   .180937E+00   .000000E+00  -.555044E-03-100000.000       .000  -1083.522     116
   332.87500   .505550E+00   .000000E+00   .181462E+00   .000000E+00  -.559720E-03-100000.000       .000  -1082.964     117
   332.91699   .508057E+00   .000000E+00   .181981E+00   .000000E+00  -.564424E-03-100000.000       .000  -1082.528     118
   332.95801   .510512E+00   .000000E+00   .182482E+00   .000000E+00  -.569035E-03-100000.000       .000  -1082.229     119
   333.00000   .512654E+00   .000000E+00   .182986E+00   .000000E+00  -.573770E-03-100000.000       .000  -1082.049     120
   333.04199   .514054E+00   .000000E+00   .183462E+00   .000000E+00  -.578506E-03-100000.000       .000  -1081.982     121
   333.08301   .515056E+00   .000000E+00   .183917E+00   .000000E+00  -.583132E-03-100000.000       .000  -1082.007     122
   333.12500   .515857E+00   .000000E+00   .184372E+00   .000000E+00  -.587865E-03-100000.000       .000  -1082.114     123
   333.16699   .516924E+00   .000000E+00   .184824E+00   .000000E+00  -.592591E-03-100000.000       .000  -1082.300     124
   333.20801   .517948E+00   .000000E+00   .185258E+00   .000000E+00  -.597197E-03-100000.000       .000  -1082.556     125
   333.25000   .518667E+00   .000000E+00   .185692E+00   .000000E+00  -.601898E-03-100000.000       .000  -1082.893     126
   333.29199   .519267E+00   .000000E+00   .186121E+00   .000000E+00  -.606580E-03-100000.000       .000  -1083.293     127
   333.33301   .520142E+00   .000000E+00   .186578E+00   .000000E+00  -.611129E-03-100000.000       .000  -1083.734     128
   333.37500   .521540E+00   .000000E+00   .187115E+00   .000000E+00  -.615758E-03-100000.000       .000  -1084.230     129
   333.41699   .524346E+00   .000000E+00   .187720E+00   .000000E+00  -.620365E-03-100000.000       .000  -1084.752     130
   333.45801   .530383E+00   .000000E+00   .188372E+00   .000000E+00  -.624839E-03-100000.000       .000  -1085.264     131
   333.50000   .538991E+00   .000000E+00   .189076E+00   .000000E+00  -.629395E-03-100000.000       .000  -1085.706     132
   333.54199   .549163E+00   .000000E+00   .189790E+00   .000000E+00  -.633925E-03-100000.000       .000  -1085.997     133
   333.58301   .559240E+00   .000000E+00   .190480E+00   .000000E+00  -.638343E-03-100000.000       .000  -1086.074     134
   333.62500   .568176E+00   .000000E+00   .191149E+00   .000000E+00  -.642866E-03-100000.000       .000  -1085.913     135
   333.66699   .573928E+00   .000000E+00   .191760E+00   .000000E+00  -.647407E-03-100000.000       .000  -1085.525     136
   333.70801   .577083E+00   .000000E+00   .192304E+00   .000000E+00  -.651873E-03-100000.000       .000  -1084.954     137
   333.75000   .579794E+00   .000000E+00   .192831E+00   .000000E+00  -.656478E-03-100000.000       .000  -1084.252     138
   333.79199   .582428E+00   .000000E+00   .193338E+00   .000000E+00  -.661119E-03-100000.000       .000  -1083.514     139
   333.83301   .584694E+00   .000000E+00   .193817E+00   .000000E+00  -.665689E-03-100000.000       .000  -1082.840     140
   333.87500   .586419E+00   .000000E+00   .194291E+00   .000000E+00  -.670399E-03-100000.000       .000  -1082.257     141
   333.91699   .587647E+00   .000000E+00   .194751E+00   .000000E+00  -.675143E-03-100000.000       .000  -1081.816     142
   333.95801   .588717E+00   .000000E+00   .195191E+00   .000000E+00  -.679792E-03-100000.000       .000  -1081.528     143
   334.00000   .589540E+00   .000000E+00   .195629E+00   .000000E+00  -.684564E-03-100000.000       .000  -1081.372     144
   334.04199   .590270E+00   .000000E+00   .196062E+00   .000000E+00  -.689338E-03-100000.000       .000  -1081.347     145
   334.08301   .591061E+00   .000000E+00   .196478E+00   .000000E+00  -.693997E-03-100000.000       .000  -1081.435     146
   334.12500   .591921E+00   .000000E+00   .196901E+00   .000000E+00  -.698761E-03-100000.000       .000  -1081.626     147
   334.16699   .592772E+00   .000000E+00   .197319E+00   .000000E+00  -.703508E-03-100000.000       .000  -1081.904     148
   334.20801   .593883E+00   .000000E+00   .197727E+00   .000000E+00  -.708131E-03-100000.000       .000  -1082.243     149
   334.25000   .595160E+00   .000000E+00   .198140E+00   .000000E+00  -.712843E-03-100000.000       .000  -1082.647     150
   334.29199   .596312E+00   .000000E+00   .198550E+00   .000000E+00  -.717530E-03-100000.000       .000  -1083.093     151
   334.33301   .597498E+00   .000000E+00   .198978E+00   .000000E+00  -.722087E-03-100000.000       .000  -1083.558     152
   334.37500   .599054E+00   .000000E+00   .199482E+00   .000000E+00  -.726730E-03-100000.000       .000  -1084.055     153
   334.41699   .603024E+00   .000000E+00   .200043E+00   .000000E+00  -.731345E-03-100000.000       .000  -1084.562     154
   334.45801   .609361E+00   .000000E+00   .200643E+00   .000000E+00  -.735829E-03-100000.000       .000  -1085.030     155
   334.50000   .617939E+00   .000000E+00   .201290E+00   .000000E+00  -.740396E-03-100000.000       .000  -1085.428     156
   334.54199   .176656E+00   .000000E+00  -.239974E+00   .000000E+00  -.744949E-03    -58.199       .000  -1085.702     157
   334.54999   .919385E-01   .000000E+00  -.324816E+00   .000000E+00  -.745812E-03    -51.507       .000  -1085.732     158
   334.58301   .109580E+00   .000000E+00  -.306925E+00   .000000E+00  -.749382E-03   -152.720       .000  -1085.752     159
