 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 175


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.000
 Saturated moisture content..........(WCS)............     0.430
 First coefficient...................(ALPHA)..........     0.032
 Second coefficient..................(N)..............     2.657
 Saturated conductivity..............(CONDS).......... .1450E-01
 Pore conectivity factor.............(L)..............     0.660
 Moisture content....................(WCM)............     0.430
 Saturated moisture content (wetting)(WCSwet).........     0.384
 First coefficient (wettine).........(ALPHAW).........     0.067
 Saturated conductivity (wetting)....(CONDKW)......... .1000E-01


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
  132  10220.000       0.27980      0.28483     -0.00503     2     5
  146  14420.000       0.26850      0.27718     -0.00868     2     5
  156  21620.000       0.26550      0.26803     -0.00253     2     5
  170  36320.000       0.25680      0.25642      0.00038     2     5
   52    538.000       0.02000      0.03532     -0.01532     2     6
   53    546.000       0.10000      0.05821      0.04179     2     6
   55    556.000       0.15000      0.09465      0.05535     2     6
   57    568.000       0.20000      0.14420      0.05580     2     6
   58    590.000       0.25000      0.21198      0.03802     2     6
   64    620.000       0.27940      0.26506      0.01434     2     6
   70    710.000       0.28030      0.28495     -0.00465     2     6
   76    830.000       0.28150      0.28258     -0.00108     2     6
   83   1430.000       0.28410      0.27390      0.01020     2     6
   90   1940.000       0.28210      0.26909      0.01301     2     6
   98   2870.000       0.27930      0.26153      0.01777     2     6
  112   4250.000       0.26910      0.25494      0.01416     2     6
  124   7340.000       0.25630      0.24560      0.01070     2     6
  133  10220.000       0.25280      0.23972      0.01308     2     6
  147  14420.000       0.25170      0.23353      0.01817     2     6
  157  21620.000       0.24380      0.22598      0.01782     2     6
  171  36320.000       0.24140      0.21647      0.02493     2     6
   77    830.000       0.03990      0.02766      0.01224     2     7
   84   1430.000       0.21130      0.19881      0.01249     2     7
   91   1940.000       0.22410      0.20801      0.01609     2     7
   99   2870.000       0.21960      0.20809      0.01151     2     7
  101   3350.000       0.21640      0.20750      0.00890     2     7
  104   3740.000       0.21710      0.20694      0.01016     2     7
  113   4250.000       0.21530      0.20614      0.00916     2     7
  116   5780.000       0.21360      0.20374      0.00986     2     7
  125   7340.000       0.21340      0.20138      0.01202     2     7
  134  10220.000       0.20910      0.19761      0.01149     2     7
  138  12140.000       0.20720      0.19536      0.01184     2     7
  148  14420.000       0.20790      0.19302      0.01488     2     7
  158  21620.000       0.20560      0.18766      0.01794     2     7
  162  32120.000       0.20580      0.18232      0.02348     2     7
  172  36320.000       0.20390      0.18063      0.02327     2     7
   92   1940.000       0.11200      0.11616     -0.00416     2     8
  100   2870.000       0.17220      0.16384      0.00836     2     8
  102   3350.000       0.17870      0.16999      0.00871     2     8
  105   3740.000       0.18530      0.17300      0.01230     2     8
  114   4250.000       0.19120      0.17546      0.01574     2     8
  117   5780.000       0.19160      0.17789      0.01371     2     8
  126   7340.000       0.19310      0.17766      0.01544     2     8
  135  10220.000       0.18470      0.17572      0.00898     2     8
  139  12140.000       0.18590      0.17456      0.01134     2     8
  149  14420.000       0.18540      0.17323      0.01217     2     8
  159  21620.000       0.18570      0.16975      0.01595     2     8
  163  32120.000       0.18680      0.16589      0.02091     2     8
  173  36320.000       0.18620      0.16459      0.02161     2     8
  103   3350.000       0.03530      0.06275     -0.02745     2     9
  106   3740.000       0.10530      0.09494      0.01036     2     9
  115   4250.000       0.13840      0.11793      0.02047     2     9
  118   5780.000       0.15070      0.14413      0.00657     2     9
  127   7340.000       0.15680      0.15271      0.00409     2     9
  136  10220.000       0.16220      0.15768      0.00452     2     9
  140  12140.000       0.16370      0.15856      0.00514     2     9
  150  14420.000       0.16640      0.15868      0.00772     2     9
  160  21620.000       0.16480      0.15708      0.00772     2     9
  164  32120.000       0.17030      0.15373      0.01657     2     9
  174  36320.000       0.17370      0.15239      0.02131     2     9
  137  10220.000       0.08420      0.10932     -0.02512     2    10
  141  12140.000       0.12040      0.12073     -0.00033     2    10
  151  14420.000       0.13070      0.12786      0.00284     2    10
  161  21620.000       0.13800      0.13808     -0.00008     2    10
  165  32120.000       0.14830      0.14043      0.00787     2    10
  175  36320.000       0.15090      0.14031      0.01059     2    10


  Pressure    Log P      WC       Rel K     Log RK   Abs K    Log KA     Diffus     Log D
 0.000E+00            0.4198    0.100E+01            0.202E-01
 0.141E+01   0.150    0.4198    0.999E+00   0.000    0.201E-01  -1.696    0.399E+03   2.601
 0.168E+01   0.225    0.4198    0.998E+00  -0.001    0.201E-01  -1.696    0.229E+03   2.360
 0.200E+01   0.300    0.4197    0.997E+00  -0.001    0.201E-01  -1.697    0.131E+03   2.118
 0.237E+01   0.375    0.4196    0.994E+00  -0.003    0.200E-01  -1.698    0.752E+02   1.876
 0.282E+01   0.450    0.4195    0.990E+00  -0.005    0.200E-01  -1.700    0.430E+02   1.634
 0.335E+01   0.525    0.4192    0.982E+00  -0.008    0.198E-01  -1.703    0.245E+02   1.390
 0.398E+01   0.600    0.4185    0.968E+00  -0.014    0.195E-01  -1.709    0.140E+02   1.145
 0.473E+01   0.675    0.4171    0.945E+00  -0.025    0.190E-01  -1.720    0.788E+01   0.896
 0.562E+01   0.750    0.4142    0.904E+00  -0.044    0.182E-01  -1.739    0.440E+01   0.643
 0.668E+01   0.825    0.4084    0.837E+00  -0.077    0.169E-01  -1.772    0.242E+01   0.383
 0.794E+01   0.900    0.3969    0.731E+00  -0.136    0.147E-01  -1.832    0.129E+01   0.112
 0.944E+01   0.975    0.3753    0.577E+00  -0.239    0.116E-01  -1.934    0.667E+00  -0.176
 0.112E+02   1.050    0.3382    0.386E+00  -0.413    0.779E-02  -2.108    0.326E+00  -0.487
 0.133E+02   1.125    0.2829    0.204E+00  -0.689    0.412E-02  -2.385    0.150E+00  -0.825
 0.158E+02   1.200    0.2151    0.811E-01  -1.091    0.164E-02  -2.786    0.642E-01  -1.192
 0.188E+02   1.275    0.1486    0.243E-01  -1.615    0.489E-03  -3.310    0.260E-01  -1.586
 0.224E+02   1.350    0.0950    0.583E-02  -2.234    0.118E-03  -3.930    0.101E-01  -1.998
 0.266E+02   1.425    0.0579    0.122E-02  -2.915    0.245E-04  -4.611    0.379E-02  -2.421
 0.316E+02   1.500    0.0342    0.234E-03  -3.631    0.472E-05  -5.326    0.141E-02  -2.851
 0.376E+02   1.575    0.0199    0.429E-04  -4.367    0.866E-06  -6.063    0.517E-03  -3.286
 0.447E+02   1.650    0.0115    0.776E-05  -5.110    0.157E-06  -6.805    0.190E-03  -3.720
 0.531E+02   1.725    0.0067    0.139E-05  -5.858    0.280E-07  -7.553    0.699E-04  -4.155
 0.631E+02   1.800    0.0038    0.247E-06  -6.608    0.498E-08  -8.303    0.256E-04  -4.591
 0.750E+02   1.875    0.0022    0.437E-07  -7.359    0.882E-09  -9.054    0.939E-05  -5.028
 0.891E+02   1.950    0.0013    0.774E-08  -8.111    0.156E-09  -9.806    0.344E-05  -5.464
 0.106E+03   2.025    0.0007    0.137E-08  -8.863    0.276E-10 -10.559    0.126E-05  -5.900
 0.126E+03   2.100    0.0004    0.242E-09  -9.616    0.489E-11 -11.311    0.460E-06  -6.337
 0.150E+03   2.175    0.0002    0.429E-10 -10.368    0.864E-12 -12.063    0.169E-06  -6.773
 0.178E+03   2.250    0.0001    0.758E-11 -11.120    0.153E-12 -12.816    0.617E-07  -7.210
 0.211E+03   2.325    0.0001    0.134E-11 -11.873    0.270E-13 -13.568    0.226E-07  -7.646
 0.251E+03   2.400    0.0001    0.237E-12 -12.625    0.478E-14 -14.321    0.827E-08  -8.083
 0.299E+03   2.475    0.0000    0.419E-13 -13.378    0.845E-15 -15.073    0.303E-08  -8.519
 0.355E+03   2.550    0.0000    0.741E-14 -14.130    0.149E-15 -15.826    0.111E-08  -8.956
 0.422E+03   2.625    0.0000    0.131E-14 -14.883    0.264E-16 -16.578    0.405E-09  -9.392
 0.501E+03   2.700    0.0000    0.232E-15 -15.635    0.467E-17 -17.331    0.148E-09  -9.829
 0.596E+03   2.775    0.0000    0.409E-16 -16.388    0.825E-18 -18.083    0.543E-10 -10.265
 
 Inverse solution calculation time [sec]   13.5000000000000     
